ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
ESTER,517,2016-07-01,57.95,2016-07-05,55.1,,-1593.952479633801,-0.05320241986885249,exit_model_urgent
ASTRAL,139,2016-07-01,215.5360413046,2016-07-08,205.0383618602,,-1579.6773472261593,-0.05272707600573496,exit_model_urgent
CYBERTECH,485,2016-07-01,61.75,2016-07-12,57.45,,-2205.956627784999,-0.07365771953036433,exit_model_urgent
BANCOINDIA,190,2016-07-01,157.65,2016-07-13,149.15,,-1735.4757327219995,-0.05793899653536313,exit_model_urgent
BANG,1153,2016-07-01,26.0,2016-07-13,24.8,,-1504.1742739759975,-0.05017593815384607,exit_model_urgent
BFINVEST,255,2016-07-01,117.2977211069,2016-07-21,112.0149213239,,-1467.4184122139814,-0.04905962327637897,exit_model_urgent
ARCHIDPLY,585,2016-07-01,51.25,2016-08-02,50.6,,-500.83734577499854,-0.016705018829268243,signal
BALAMINES,112,2016-07-01,267.22608569,2016-08-02,299.7648792184,,3523.966390218953,0.1177429424440818,signal
CAPLIPOINT,28,2016-07-01,1049.3634660595,2016-08-02,1207.4063206177,,4307.022108375553,0.1465862145305027,signal
CCHHL,2255,2016-07-01,13.3,2016-08-02,12.5,,-1924.628572218,-0.06417246793984963,signal
COMPUSOFT,2585,2016-08-02,11.55,2016-08-03,10.9,,-1800.336595321005,-0.06029914827705644,exit_model_urgent
DWARKESH,831,2016-08-02,35.93,2016-08-04,32.7,,-2804.220939180359,-0.0939191139871973,exit_model_urgent
DEEPAKFERT,171,2016-08-02,173.9542662116,2016-08-08,166.9047497156,,-1325.1091915027355,-0.04454720615514736,exit_model_urgent
EIHAHOTELS,165,2016-08-02,180.7,2016-08-08,171.8,,-1588.420684025994,-0.05327499736801308,exit_model_urgent
GOODLUCK,237,2016-08-02,125.55,2016-08-09,119.0,,-1672.0287551921974,-0.0561925420199123,exit_model_urgent
BUTTERFLY,171,2016-08-02,173.75,2016-08-12,151.45,,-3932.8013809350014,-0.13236741574100724,exit_model_urgent
DELTACORP,301,2016-08-02,99.05,2016-08-17,137.85,,11558.885148007397,0.38769926085209483,exit_model_urgent
BAYERCROP,8,2016-08-02,3543.1854774806,2016-09-01,3467.7289951543,,-717.660002318331,-0.02531831902674718,signal
BHARATRAS,103,2016-08-02,289.5,2016-09-01,352.9625,,6416.704749697994,0.21519207034887716,signal
BLKASHYAP,1238,2016-09-01,24.2,2016-09-02,22.85,,-1791.800267483195,-0.05980721596694199,exit_model_urgent
DPSCLTD,816,2016-09-01,36.7,2016-09-02,34.15,,-2201.250393542403,-0.07350438082833798,exit_model_urgent
GHCL,113,2016-09-01,263.65,2016-09-08,251.5,,-1492.7779748053981,-0.050105915250521466,exit_model_urgent
AKSHOPTFBR,2005,2016-09-01,14.95,2016-09-12,20.5,,11007.188797823,0.36721536619397993,exit_model_urgent
ATLASCYCLE,115,2016-09-01,260.5,2016-09-29,243.3,,-2098.4918210899996,-0.07004896340115162,exit_model_urgent
DEEPAKNTR,253,2016-09-01,118.3087496855,2016-09-29,113.0319525965,,-1455.4193784539311,-0.04862400946618314,exit_model_urgent
AEGISLOG,229,2016-09-01,130.4451490792,2016-10-04,148.993402727,,4127.402397910188,0.13816988507795466,signal
DONEAR,581,2016-09-01,51.55,2016-10-04,68.75,,9872.736132449401,0.3296345520349176,signal
ENIL,39,2016-09-01,760.3,2016-10-04,869.1,,4123.938134643606,0.13907931533920842,signal
GODFRYPHLP,75,2016-09-01,398.3661933693,2016-10-04,422.8428624335,,1715.5802688584154,0.057420544126276965,signal
ALKALI,485,2016-10-04,63.15,2016-10-06,84.05,,10013.312371747,0.3269359444212193,exit_model_urgent
