run_id,ticker,market_cap_tier_at_buy,buy_date,buy_price,entry_reason,entry_indicator_values,sell_date,sell_price,exit_reason,exit_indicator_values,days_held,pnl_inr,pnl_pct
orch_technical_20260726_145135_624ea37a,CYBERTECH,,2016-07-01,61.75,buy,"{""template_name"": ""B3"", ""matched"": true, ""score"": 1.0, ""matched_conditions"": 3, ""total_conditions"": 3, ""feature__base_breakout_ratio"": 1.012295, ""feature__adx_14"": 29.09872, ""feature__volume_ratio_21d"": 5.072, ""feature__rsi_14"": 67.960157}",2016-07-12,57.45,exit_model_urgent,,11,-2942.7916251069983,-0.07365771953036433
orch_technical_20260726_145135_624ea37a,ASHOKA,,2016-07-01,169.9,buy,"{""template_name"": ""B3"", ""matched"": true, ""score"": 1.0, ""matched_conditions"": 3, ""total_conditions"": 3, ""feature__base_breakout_ratio"": 1.063537, ""feature__adx_14"": 24.317885, ""feature__volume_ratio_21d"": 3.585788, ""feature__rsi_14"": 76.345751}",2016-07-15,158.8,exit_model_urgent,,14,-2769.088056237997,-0.0693546405579752
orch_technical_20260726_145135_624ea37a,BBTC,,2016-07-01,413.7610375472,buy,"{""template_name"": ""B3"", ""matched"": true, ""score"": 1.0, ""matched_conditions"": 3, ""total_conditions"": 3, ""feature__base_breakout_ratio"": 0.997877, ""feature__adx_14"": 20.468002, ""feature__volume_ratio_21d"": 4.388891, ""feature__rsi_14"": 64.61509}",2016-07-18,385.9324287571,exit_model_urgent,,17,-2831.308199916508,-0.07127977521509837
orch_technical_20260726_145135_624ea37a,BANG,,2016-07-01,26.0,buy,"{""template_name"": ""B3"", ""matched"": true, ""score"": 1.0, ""matched_conditions"": 3, ""total_conditions"": 3, ""feature__base_breakout_ratio"": 1.044177, ""feature__adx_14"": 30.543105, ""feature__volume_ratio_21d"": 10.606144, ""feature__rsi_14"": 86.950989}",2016-07-19,23.65,exit_model_urgent,,18,-3775.1354148960017,-0.09440670738461543
orch_technical_20260726_145135_624ea37a,DTIL,,2016-07-01,221.6333333333,buy,"{""template_name"": ""B3"", ""matched"": true, ""score"": 1.0, ""matched_conditions"": 3, ""total_conditions"": 3, ""feature__base_breakout_ratio"": 1.024184, ""feature__adx_14"": 26.371176, ""feature__volume_ratio_21d"": 4.174177, ""feature__rsi_14"": 72.064451}",2016-08-03,201.3333333333,exit_model_urgent,,33,-3814.4573382479794,-0.09561481270989505
orch_technical_20260726_145135_624ea37a,BANCOINDIA,,2016-07-01,157.65,buy,"{""template_name"": ""B3"", ""matched"": true, ""score"": 1.0, ""matched_conditions"": 3, ""total_conditions"": 3, ""feature__base_breakout_ratio"": 1.017425, ""feature__adx_14"": 32.7177, ""feature__volume_ratio_21d"": 4.765328, ""feature__rsi_14"": 77.332716}",2016-08-04,208.95,exit_model_urgent,,34,12818.477050638598,0.32138228478401515
orch_technical_20260726_145135_624ea37a,ASTRAL,,2016-07-01,215.5360413046,buy,"{""template_name"": ""B3"", ""matched"": true, ""score"": 1.0, ""matched_conditions"": 3, ""total_conditions"": 3, ""feature__base_breakout_ratio"": 1.028114, ""feature__adx_14"": 23.688067, ""feature__volume_ratio_21d"": 5.739059, ""feature__rsi_14"": 74.404978}",2016-09-14,200.345543295,exit_model_urgent,,75,-2970.6197024529392,-0.07449985487276468
orch_technical_20260726_145135_624ea37a,BASML,,2016-07-01,261.15,buy,"{""template_name"": ""B3"", ""matched"": true, ""score"": 1.0, ""matched_conditions"": 3, ""total_conditions"": 3, ""feature__base_breakout_ratio"": 1.024118, ""feature__adx_14"": 40.749485, ""feature__volume_ratio_21d"": 4.218, ""feature__rsi_14"": 76.247134}",2016-10-04,341.25,signal,"{""template_name"": ""B3"", ""matched"": false}",95,12094.593493152606,0.3026981837036188
orch_technical_20260726_145135_624ea37a,CEMPRO,,2016-07-01,143.7641786056,buy,"{""template_name"": ""B3"", ""matched"": true, ""score"": 1.0, ""matched_conditions"": 3, ""total_conditions"": 3, ""feature__base_breakout_ratio"": 1.047861, ""feature__adx_14"": 26.508368, ""feature__volume_ratio_21d"": 4.122386, ""feature__rsi_14"": 76.220484}",2016-10-04,142.3215622805,signal,"{""template_name"": ""B3"", ""matched"": false}",95,-561.7960436162102,-0.014056694076068226
orch_technical_20260726_145135_624ea37a,GANDHITUBE,,2016-07-01,261.85,buy,"{""template_name"": ""B3"", ""matched"": true, ""score"": 1.0, ""matched_conditions"": 3, ""total_conditions"": 3, ""feature__base_breakout_ratio"": 1.007115, ""feature__adx_14"": 29.061085, ""feature__volume_ratio_21d"": 3.023768, ""feature__rsi_14"": 77.41552}",2016-10-04,312.25,signal,"{""template_name"": ""B3"", ""matched"": false}",95,7500.715911889594,0.1884545167454648
orch_technical_20260726_145135_624ea37a,ALKALI,,2016-10-04,63.15,buy,"{""template_name"": ""B3"", ""matched"": true, ""score"": 1.0, ""matched_conditions"": 3, ""total_conditions"": 3, ""feature__base_breakout_ratio"": 1.007177, ""feature__adx_14"": 31.837568, ""feature__volume_ratio_21d"": 6.96284, ""feature__rsi_14"": 64.647326}",2016-10-06,84.05,exit_model_urgent,,2,13234.089134618196,0.3269359444212192
orch_technical_20260726_145135_624ea37a,GMBREW,,2016-10-04,662.85,buy,"{""template_name"": ""B3"", ""matched"": true, ""score"": 1.0, ""matched_conditions"": 3, ""total_conditions"": 3, ""feature__base_breakout_ratio"": 0.989328, ""feature__adx_14"": 20.955501, ""feature__volume_ratio_21d"": 2.605793, ""feature__rsi_14"": 68.433201}",2016-10-07,587.0,exit_model_urgent,,3,-4789.478664614202,-0.11845220439345257
orch_technical_20260726_145135_624ea37a,ATLASCYCLE,,2016-10-04,302.4,buy,"{""template_name"": ""B3"", ""matched"": true, ""score"": 1.0, ""matched_conditions"": 3, ""total_conditions"": 3, ""feature__base_breakout_ratio"": 1.050365, ""feature__adx_14"": 41.932586, ""feature__volume_ratio_21d"": 7.659527, ""feature__rsi_14"": 72.058326}",2016-10-14,403.45,exit_model_urgent,,10,13277.884677433598,0.3301379609100529
orch_technical_20260726_145135_624ea37a,CARBORUNIV,,2016-10-04,280.9709689587,buy,"{""template_name"": ""B3"", ""matched"": true, ""score"": 1.0, ""matched_conditions"": 3, ""total_conditions"": 3, ""feature__base_breakout_ratio"": 1.029856, ""feature__adx_14"": 34.648171, ""feature__volume_ratio_21d"": 5.023897, ""feature__rsi_14"": 65.95465}",2016-11-02,259.8885633751,exit_model_urgent,,29,-3198.5995204916617,-0.07905619841224952
