ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
BEARDSELL,102,2017-01-04,391.0,2017-01-24,345.65,,-4786.109073144005,-0.12000674673145793,exit_model_urgent
CGCL,2704,2017-01-04,14.791513976331071,2017-02-06,13.071860287423165,,-4810.812187213749,-0.12028156967481028,exit_model_urgent
ELECTHERM,183,2017-01-04,217.95,2017-02-07,192.7,,-4781.170536106198,-0.11987435169258999,exit_model_urgent
CENTEXT,5755,2017-01-04,6.95,2017-02-08,6.1,,-5052.6226192469985,-0.12632425027338126,exit_model_urgent
DUCON,617,2017-01-04,64.75,2017-03-01,56.55,,-5220.085591969,-0.13066301864092664,exit_model_urgent
AGARIND,116,2017-01-04,344.0,2017-03-01,474.3,,14954.302440832005,0.374756977767442,exit_model_urgent
GRAVITA,1064,2017-01-04,37.56654383613198,2017-03-14,53.76064293341192,,17069.75519396732,0.42705560223558875,exit_model_urgent
AGRITECH,1277,2017-01-04,31.3,2017-04-07,39.25,,9991.386580550803,0.24997151822364225,signal
APTECHT,213,2017-01-04,187.45,2017-04-07,227.45,,8359.410536029798,0.20936814539663906,signal
DATAMATICS,292,2017-01-04,136.6,2017-04-07,132.25,,-1430.629988022396,-0.03586689434260605,signal
DSSL,1728,2017-04-07,23.7,2017-04-13,20.4,,-5867.119146931203,-0.143262598329114,exit_model_urgent
GPIL,7672,2017-04-07,5.3401797979239545,2017-04-19,4.747086958207202,,-4714.99281007969,-0.11508442738191399,exit_model_urgent
GENESYS,223,2017-04-07,183.05,2017-05-02,163.6,,-4501.532398753807,-0.11027721355148883,exit_model_urgent
BHARATRAS,54,2017-04-07,754.3,2017-05-22,677.3875,,-4317.103655762396,-0.1059874903826063,exit_model_urgent
FMNL,512,2017-04-07,79.9,2017-05-23,70.8,,-4823.738957209607,-0.11791445745682119,exit_model_urgent
BHARATWIRE,419,2017-04-07,97.75,2017-05-23,85.5,,-5297.483827566997,-0.1293417850946291,exit_model_urgent
BEPL,1654,2017-04-07,24.766666666666666,2017-06-08,33.83333333333333,,14831.505421839196,0.36206135349125157,exit_model_urgent
DWARKESH,915,2017-04-07,44.75000000000001,2017-06-15,39.98500000000001,,-4524.664584555001,-0.11050253892737431,exit_model_urgent
BIRLAMONEY,783,2017-04-07,52.3,2017-06-30,73.4,,16356.591712717207,0.3994195906003826,exit_model_urgent
BLKASHYAP,843,2017-07-10,48.45,2017-07-18,43.35,,-4463.575711288206,-0.10928524989473697,exit_model_urgent
GANECOS,105,2017-07-10,388.5,2017-07-28,350.25,,-4180.321187909998,-0.1024776904555984,exit_model_urgent
GINNIFILA,670,2017-07-10,60.95,2017-08-03,50.25,,-7333.248159957999,-0.1795758245676784,exit_model_urgent
GRAPHITE,273,2017-07-10,149.22603121721374,2017-08-07,206.27093859516745,,15409.40488858767,0.37824973358329245,exit_model_urgent
DHUNINV,105,2017-07-10,387.75,2017-08-11,332.05,,-6012.254448164997,-0.14767135054287547,exit_model_urgent
AVANTIFEED,79,2017-07-10,515.6833333333333,2017-09-20,700.6,,14444.560727713535,0.354563603355677,exit_model_urgent
GOACARBON,130,2017-07-10,312.95,2017-09-20,433.8,,15546.867220118002,0.38214183194951273,exit_model_urgent
DBL,83,2017-07-10,488.7,2017-10-05,681.3,,15822.655502086796,0.39008472199631666,exit_model_urgent
BOMDYEING,179,2017-10-10,236.1,2017-10-13,207.75,,-5244.631249894803,-0.1240983308818298,exit_model_urgent
GEOJITFSL,296,2017-10-10,142.95,2017-10-25,128.15,,-4550.987583214395,-0.10755479574256722,exit_model_urgent
EMKAY,148,2017-10-10,285.75,2017-11-01,257.85,,-4299.298292772,-0.10165988727559055,exit_model_urgent
GRAVITA,268,2017-10-10,157.98661793741718,2017-11-08,140.61562210341629,,-4825.723922358564,-0.11397441619547097,exit_model_urgent
AGRITECH,399,2017-10-10,106.3,2018-01-09,124.3,,7011.4081965396035,0.16530998702163696,signal
GPTINFRA,258,2017-10-10,163.9,2018-01-16,231.95,,17386.821013269597,0.4111700983599755,exit_model_urgent
FCL,4660,2018-01-09,9.100000000000001,2018-01-17,7.980000000000001,,-5389.760833352004,-0.12709901507692314,exit_model_urgent
DSSL,814,2018-01-09,52.1,2018-01-24,45.75,,-5339.474508464802,-0.12590309008061426,exit_model_urgent
